contract_hash,original_size,success,optimized_size,size_diff,size_diff_percent
7285b0f4d1bca4f610007e75948ee935f7971e5846d142d7db8b720ccee1eae3,15342,true,11867,-3475,-22.65024116803546
badfb7d2f8c7834bd22ee57f35c0fe99ad1b675887eb82083db0ee85a906af97,2486,true,1925,-561,-22.566371681415927
65a79fb5351db567fb73b92c79e451d8af2e2bd7b589a555f44602455166ac84,16805,true,13026,-3779,-22.487354953882775
0d90072b8c0c7f8863422422f56270e63445f6ed0105e1d234030740e1c3af3a,2762,true,2142,-620,-22.447501810282404
0800cdf64090d448001ec036143a35793e6b6c54587fa5c8e828e4f816375b04,15419,true,11967,-3452,-22.387962902911994
624b7ae20ae7a6f497d115ecb194fd753ae7660f3b6e1404b9c403657d26fc30,28553,true,22167,-6386,-22.365425699576228
198033a67ba4b8104414fef4e1bd8c4d79c5304325134e1045b168daead4f3ef,15608,true,12135,-3473,-22.251409533572527
c770db6910fc09498b7ed3e5ac27295a8cd93a6f1981251101ee2dff891af237,15535,true,12091,-3444,-22.169295140006437
77fdcd1ddbaa701dbd149a1135b38355e2c690fbe47a82604ccd970f953d7309,15475,true,12047,-3428,-22.151857835218095
b10d0e5874ca76bf27d01354972d854a93818d7a3e08cec006643e85cebf6693,11635,true,9063,-2572,-22.10571551353674
0c7b9a38c818265cb5d0f3ccceaf852fc9d4c090bf93748d53f8adf4bbdd230e,15662,true,12209,-3453,-22.046992721236116
6c76bf1716f23b7dca45b30892e74bcb09e86e4269a852b65680d34cfadd133d,15662,true,12209,-3453,-22.046992721236116
34c11402288825766587067558681ffe41ec216101e980415b2f258f1a26be46,12704,true,9933,-2771,-21.812027707808564
4f381278f79c01ea6d035165d8e8899eba9ed5429d9e1c85e41e15d627ed90ad,11588,true,9077,-2511,-21.668967897825336
4e74c4227bb16287e3ec5e263665f32362fb68fdb7217209b76ec99509d157c9,24504,true,19195,-5309,-21.665850473392098
e49fbcf9fb09acd0a2e990863d43068541dd12fe61f1f31bd24d54f5a12d03c9,21389,true,16766,-4623,-21.613913693954835
9c3a507a9ac4c6b0a4ce3706d3957346e5dc37662c9d5cad6b91657c35906a83,19251,true,15114,-4137,-21.489792738039583
c5fa5e271feca80e4724a89348b2859357f73a4effcc22bd09e0b3fd0d63d586,19275,true,15137,-4138,-21.468223086900128
3c5dae1828b213c8615ea93b3430a01be31b8bddb8298663ca4b2a2642b1800c,2393,true,1880,-513,-21.43752611784371
cbacbbb14472fd4d9a0c75ce4a92c60922430eb931e4e6906986edf4778171c1,12392,true,9743,-2649,-21.376694641704326
58f7a2be128724e708d67b9d05eab416f69b42eff53f5346ac96d34c75af0386,12250,true,9634,-2616,-21.355102040816327
21d42b73c1c9b3c64536360084c4992d055fb5ff4312fd45d8410baf7eb91b1f,5910,true,4651,-1259,-21.302876480541457
e1775f270149d57fd75b220736fedc2b34e2d9c86487aa13da367323a2fbc80d,10485,true,8266,-2219,-21.16356700047687
d44487d42355ac978ddb16c28ac4672d91771e918bab07e2cc4c768e7f6fcee6,10572,true,8346,-2226,-21.05561861520999
2be577797c24cdb02689a6114e09ff77c7bf66944e2c15390eec3ca8188008dc,12050,true,9513,-2537,-21.053941908713693
41b0f2614b2be48f5ed741f3c64c09d0ad64277e427f4dbace477245c1655ee2,5286,true,4174,-1112,-21.03670071888006
958b7c4fea1f8d23c0fe44cec9c88cee7d1d08933e71e560789f51690ecaff79,11347,true,8977,-2370,-20.886577950118973
b33759347acc1858216df962a0ec7f7f6a6de2630802244eb5e3873ae0d686e7,22397,true,17757,-4640,-20.717060320578646
88b454022409e5e7b92edf994c4a9d65dd39d5dd5e9e35f197982bdfdb0fd72c,5371,true,4259,-1112,-20.70377955687954
dbdf62771669ba8fc412b2ccd6fded36b6c3ebd10d4c8bdfb0f0c8747bd643b7,6902,true,5476,-1426,-20.66067806432918
1bcd7570c017e700b43ba5ef46f89395b6f50311c59c3cfe60d206a528e08263,7062,true,5608,-1454,-20.589068252619654
47d94f520bede00f21724a3fae31770142cef3567f8c0b1101abba1482363e89,6903,true,5486,-1417,-20.527306967984934
ede5bcb01c335d9c39446877f31ff449b4343be06a52c17a2d07c1eb51f1f989,3875,true,3081,-794,-20.490322580645163
2660fcb340231cdfb03b501cbc9bceb3022507f3ccd4271ba578e9264cc2d982,8912,true,7086,-1826,-20.489228007181328
423df6a1b908f9d0a7c3501f98e089a0753a8f9c01f338d0054717255e764514,14644,true,11696,-2948,-20.131111718109807
102905d9c86470c5b569d7a25e98aee81cdc14be47ec8bf880754798ea8d1126,3822,true,3055,-767,-20.068027210884352
dd305cc16a7a9a94b9869f0e51b337ba021e402ef2aefe151ad1fcd3d78a9436,19859,true,15901,-3958,-19.930510096178054
e8bf985b6e949ae21e618e04cdc924eda863c9226205a64afe35c9dd7f14a9ff,7033,true,5632,-1401,-19.920375373240436
932df6b6bba88998d97d836c23fb841378292c3b1954a8dde65a7dc549ed124d,3825,true,3065,-760,-19.869281045751634
f93e59cfbb4786bc2156bb1e1703d233dda3e4e8fb132eb1b52ba21f746b4895,3825,true,3065,-760,-19.869281045751634
c14d849d12d8a63d0eac5764f794157ab2eb7166050291e95c5484b0b48f0b6e,14592,true,11697,-2895,-19.839638157894736
0744aa1fbfb2f5f45a646655731285ec2277b235549e2365c7c4e385304b8539,3825,true,3071,-754,-19.712418300653596
cb820e60539caa3663b6de42cfa16badca01e14a043dfbb543d6239595e2cc65,2725,true,2196,-529,-19.412844036697248
